"Fair_Offer","O1_Me","O1_You","O2_Me","O2_You","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_OfferChoice","correct_instructions","correct_welcome","count_AcceptOffer","count_DecisionMe","count_DecisionMe_feedback1","count_DecisionMe_feedback2","count_JitteredWaitingTime","count_LogTrials","count_NoResponse","count_OfferChoice","count_OtherDecision","count_RejectOffer","count_WaitingForOther","count_block_loop","count_experiment","count_instructions","count_trial_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","jitteredWaiting","keyboard_backend","live_row","live_row_block_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_OfferChoice","response_instructions","response_time","response_time_OfferChoice","response_time_instructions","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_AcceptOffer","time_DecisionMe","time_DecisionMe_feedback1","time_DecisionMe_feedback2","time_JitteredWaitingTime","time_LogTrials","time_NoResponse","time_OfferChoice","time_OtherDecision","time_RejectOffer","time_WaitingForOther","time_block_loop","time_experiment","time_instructions","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"2","7","3","5","5","undefined","undefined","1888","1888","#b8b8b8","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Jan  9 13:38:55 2026","The main experiment item","yes","UltimatumGame_OS41.osexp","C:/Users/steenbergenhvan1/DataspellProjects/experimentation_i_2526/content/solutions","no","mono","no","18","no","white","no","no","768","9648","psycho","0","0","C:/Users/steenbergenhvan1/DataspellProjects/experimentation_i_2526/content/solutions\quickrun.csv","psycho","Neonatal Nightingale","4.1.5","0","1","1","space","1888.3789999963483","1888.3789999963483","676.9526999996742","1665.7039999990957","space","2","psycho","1024","2","48000","-16","experiment","999","odd","18616.003500006627","6019.28069999849","7931.228000001283","NA","8932.726300001377","21618.003399998997","NA","6019.47790000122","8932.4648000038","NA","8951.20360000874","5892.3015000036685","3508.310800010804","5214.804600007483","6004.301799999666","3538.211600010982","The Ultimatum Game","0","1888.3789999963483","1","yes","1024"
"2","7","3","5","5","undefined","undefined","1340","1340","#b8b8b8","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","undefined","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","Fri Jan  9 13:38:55 2026","The main experiment item","yes","UltimatumGame_OS41.osexp","C:/Users/steenbergenhvan1/DataspellProjects/experimentation_i_2526/content/solutions","no","mono","no","18","no","white","no","no","768","7150","psycho","1","1","C:/Users/steenbergenhvan1/DataspellProjects/experimentation_i_2526/content/solutions\quickrun.csv","psycho","Neonatal Nightingale","4.1.5","0","2","2","space","792.3646999988705","792.3646999988705","676.9526999996742","1665.7039999990957","space","2","psycho","1024","2","48000","-16","experiment","999","odd","30814.38350000826","21819.208400003845","7931.228000001283","22631.14250000217","23632.28540000273","33815.325900010066","NA","21819.363100003102","23632.142800008296","NA","23650.938600010704","5892.3015000036685","3508.310800010804","5214.804600007483","21807.66560000484","3538.211600010982","The Ultimatum Game","0","2680.743699995219","2","yes","1024"
