"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","correct","correct_instructions","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_block_loop","live_row_practice_loop","logfile","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_about_this_template","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_reset_feedback","time_sketchpad","time_trial_sequence","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","462","462","#3d3846","psycho","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","Mon Feb  9 15:45:16 2026","A template containing a practice and an experimental phase","yes","","None","no","mono","no","18","no","white","no","yes","768","0","0","0","C:\Users\steenbergenhvan1\DataspellProjects\experimentation_i_2526\content\solutions\subject-10.csv","Neonatal Nightingale","4.1.8","yes","0","space","NA","NA","NA","space","space","462.8062000265345","NA","NA","NA","728.777899988927","462.8062000265345","2","1024","2","48000","-16","experiment","10","even","NA","4570.867400034331","4570.766200020444","NA","NA","3833.80100002978","NA","NA","3839.4896000390872","4593.519399990328","5058.130900026299","4570.3620000276715","NA","4593.378500023391","4589.37820000574","New experiment","0","462.8062000265345","1","1024"
"undefined","undefined","328","328","#3d3846","psycho","undefined","undefined","undefined","0","1","1","0","0","0","0","0","0","1","1","0","1","1","1","Mon Feb  9 15:45:16 2026","A template containing a practice and an experimental phase","yes","","None","no","mono","no","18","no","white","no","yes","768","0","0","0","C:\Users\steenbergenhvan1\DataspellProjects\experimentation_i_2526\content\solutions\subject-10.csv","Neonatal Nightingale","4.1.8","no","0","space","NA","space","space","space","space","328.50830000825226","NA","309.9027000134811","371.44670000998303","728.777899988927","328.50830000825226","2","1024","2","48000","-16","experiment","10","even","NA","5938.4710000013","5938.29389999155","NA","5626.660600013565","3833.80100002978","5937.7474000211805","5164.895599998999","3839.4896000390872","5951.842000009492","6280.957900045905","4570.3620000276715","NA","5951.629400020465","5946.445400011726","New experiment","0","328.50830000825226","1","1024"
